Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"TEI Encoding and Syntactic Tagging of an Old French Text","Computers and the Humanities","","33","1 - 2","10.1023/A:1001762830439","Dominique EstivalNick Nicholas","1999","http://link.springer.com/article/10.1023/A%3A1001762830439","Article"
"Senses and Texts","Computers and the Humanities","","31","2","10.1023/A:1000516531139","Yorick Wilks","1997","http://link.springer.com/article/10.1023/A%3A1000516531139","Article"
"Applying data mining and machine learning techniques for sentiment shifter identification","Language Resources and Evaluation","","53","2","10.1007/s10579-018-9432-0","Zeinab RahimiSamira NoferestiMehrnoush Shamsfard","2019","http://link.springer.com/article/10.1007/s10579-018-9432-0","Article"
"Dictionary word sense distinctions: An enquiry into their nature","Computers and the Humanities","","26","5 - 6","10.1007/BF00136981","Adam Kilgarriff","1992","http://link.springer.com/article/10.1007/BF00136981","Article"
"The multi-dimensional approach to linguistic analyses of genre variation: An overview of methodology and findings","Computers and the Humanities","","26","5 - 6","10.1007/BF00136979","Douglas Douglas","1992","http://link.springer.com/article/10.1007/BF00136979","Article"
"Xtract: An overview","Computers and the Humanities","","26","5 - 6","10.1007/BF00136983","Frank Smadja","1992","http://link.springer.com/article/10.1007/BF00136983","Article"
"On the use of character n-grams as the only intrinsic evidence of plagiarism","Language Resources and Evaluation","","53","3","10.1007/s10579-019-09444-w","Imene BensalemPaolo RossoSalim Chikhi","2019","http://link.springer.com/article/10.1007/s10579-019-09444-w","Article"
"Profile-Based Linguistic Uniformity as a Generic Method for Comparing Language Varieties","Computers and the Humanities","","37","3","10.1023/A:1025019216574","Dirk SpeelmanStefan GrondelaersDirk Geeraerts","2003","http://link.springer.com/article/10.1023/A%3A1025019216574","Article"
"Asian language resources: the state-of-the-art","Language Resources and Evaluation","","42","2","10.1007/s10579-008-9071-y","Takenobu TokunagaChu-Ren HuangSophia Yat Mei Lee","2008","http://link.springer.com/article/10.1007/s10579-008-9071-y","Article"
"Joint research coordination and programming for HLT for Dutch in the Low Countries","Language Resources and Evaluation","","47","2","10.1007/s10579-013-9225-4","Peter SpynsElisabeth D’Halleweyn","2013","http://link.springer.com/article/10.1007/s10579-013-9225-4","Article"
"IEMOCAP: interactive emotional dyadic motion capture database","Language Resources and Evaluation","","42","4","10.1007/s10579-008-9076-6","Carlos BussoMurtaza BulutChi-Chun LeeAbe KazemzadehEmily MowerSamuel KimJeannette N. ChangSungbok LeeShrikanth S. Narayanan","2008","http://link.springer.com/article/10.1007/s10579-008-9076-6","Article"
"Exploring the fine-grained analysis and automatic detection of irony on Twitter","Language Resources and Evaluation","","52","3","10.1007/s10579-018-9414-2","Cynthia Van HeeEls LefeverVéronique Hoste","2018","http://link.springer.com/article/10.1007/s10579-018-9414-2","Article"
"Evaluating machine-assisted annotation in under-resourced settings","Language Resources and Evaluation","","48","4","10.1007/s10579-013-9258-8","Paul FeltEric K. RinggerKevin SeppiKristian S. HealRobbie A. HaertelDeryle Lonsdale","2014","http://link.springer.com/article/10.1007/s10579-013-9258-8","Article"
"Dealing with orthographic variation in a tagger-lemmatizer for fourteenth century Dutch charters","Language Resources and Evaluation","","47","4","10.1007/s10579-013-9236-1","Hans van HalterenMargit Rem","2013","http://link.springer.com/article/10.1007/s10579-013-9236-1","Article"
"Guidelines for Word Alignment Evaluation and Manual Alignment","Language Resources and Evaluation","","39","4","10.1007/s10579-005-4822-5","Patrik LambertAdrià De GispertRafael BanchsJosé B. Mariño","2005","http://link.springer.com/article/10.1007/s10579-005-4822-5","Article"
"How products are evaluated? Evaluation in customer review texts","Language Resources and Evaluation","","50","3","10.1007/s10579-015-9323-6","Hang Su","2016","http://link.springer.com/article/10.1007/s10579-015-9323-6","Article"
"Automatic acquisition of syntactic verb classes with basic resources","Language Resources and Evaluation","","39","4","10.1007/s10579-006-9000-x","L. MayolG. BoledaT. Badia","2006","http://link.springer.com/article/10.1007/s10579-006-9000-x","Article"
"Analyzing and identifying multiword expressions in spoken language","Language Resources and Evaluation","","44","1 - 2","10.1007/s10579-009-9095-y","Helmer StrikMicha HulsboschCatia Cucchiarini","2010","http://link.springer.com/article/10.1007/s10579-009-9095-y","Article"
"Automatic speech recognition system for Tunisian dialect","Language Resources and Evaluation","","52","1","10.1007/s10579-017-9402-y","Abir MasmoudiFethi BougaresMariem EllouzeYannick EstèveLamia Belguith","2018","http://link.springer.com/article/10.1007/s10579-017-9402-y","Article"
"Digitization of data for a historical medical dictionary","Language Resources and Evaluation","","","","10.1007/s10579-019-09468-2","Juhani NorriMarko JunkkariTimo Poranen","2019","http://link.springer.com/article/10.1007/s10579-019-09468-2","Article"
"Peeling an Onion: The Lexicographer's Experience ofManual Sense-Tagging","Computers and the Humanities","","34","1 - 2","10.1023/A:1002407003264","Ramesh KrishnamurthyDiane Nicholls","2000","http://link.springer.com/article/10.1023/A%3A1002407003264","Article"
"FinnTransFrame: translating frames in the FinnFrameNet project","Language Resources and Evaluation","","53","1","10.1007/s10579-018-9434-y","Krister LindénHeidi HaltiaAntti LaineJuha LuukkonenJussi PiitulainenNiina Väisänen","2019","http://link.springer.com/article/10.1007/s10579-018-9434-y","Article"
"Tagging and the Case of Pronouns","Computers and the Humanities","","32","1","10.1023/A:1001190200530","Janne Bondi Johannessen","1998","http://link.springer.com/article/10.1023/A%3A1001190200530","Article"
"The DialogBank: dialogues with interoperable annotations","Language Resources and Evaluation","","53","2","10.1007/s10579-018-9436-9","Harry BuntVolha PetukhovaAndrei MalchanauAlex FangKars Wijnhoven","2019","http://link.springer.com/article/10.1007/s10579-018-9436-9","Article"
"IPLR: an online resource for Greek word-level and sublexical information","Language Resources and Evaluation","","46","3","10.1007/s10579-010-9130-z","Athanassios ProtopapasMarina TzakostaAimilios ChalamandarisPirros Tsiakoulis","2012","http://link.springer.com/article/10.1007/s10579-010-9130-z","Article"
"TextWiki: a superlative resource","Language Resources and Evaluation","","46","4","10.1007/s10579-011-9171-y","Silke Scheible","2012","http://link.springer.com/article/10.1007/s10579-011-9171-y","Article"
